web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620528210-16193,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-16.html,Residencia en Venta en Jurica con Alberca y Fresco Jardin Queretaro,"MN 11,350,000",5 rec.,"5
					
						baños",920 m²
1620528298-16374,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,Casa Estilo Mexicano Contemporáneo en Una de Las Zonas Más Tradicionales y Exclusivas de Querétaro!,"MN 10,990,000",4 rec.,"4
					
						baños",1000 m²
1620528210-16175,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-16.html,"Jurica, Residencia en Venta en Privada con Vigilancia.","MN 13,000,000",3 rec.,"4
					
						baños",510 m²
1620528356-16489,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-3.html,Casa 3 Hab + Sala de Tv en Arco de Piedra,"MN 8,150,000",3 rec.,"3
					
						baños",302 m²
1620528348-16484,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-4.html,Espectacular! Arquitectura Moderna de 1 Planta en Jurica,"MN 25,000,000",5 rec.,"5
					
						baños",1789 m²
1620528298-16376,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-8.html,Hermosa Casa Grande en Venta Estilo Clásico,"MN 22,000,000",4 rec.,"6
					
						baños",2220 m²
1620528273-16327,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,Venta Casa Una Planta,"MN 8,000,000",3 rec.,"4
					
						baños",420 m²
1620528236-16249,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,"Se Vende Residencia en Jurica con 1,000 m² de Terreno, Jardin, 6 Autos","MN 10,500,000",3 rec.,"4
					
						baños",1000 m²
1620528253-16304,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-11.html,"Venta Casa, Jurica","MN 12,500,000",5 rec.,"6
					
						baños",1304 m²
1620528227-16240,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-14.html,Casa en Venta en Jurica,"MN 6,300,000",3 rec.,"3
					
						baños",525 m²
1620528236-16270,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-13.html,Venta Casa en Jurica Campestre Queretaro Ll,"MN 9,500,000",6 rec.,"6
					
						baños",1250 m²
1620528273-16331,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-10.html,Casa en Venta Jurica 5 Habitaciones,"MN 11,350,019",5 rec.,"5
					
						baños",920 m²
1620528219-16214,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-15.html,"Residencia en Venta en Jurica, Queretaro","MN 14,000,000",5 rec.,"5
					
						baños",1150 m²
1620528219-16199,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-15.html,Casa en Venta en Jurica,"MN 13,900,000",6 rec.,"7
					
						baños",2200 m²
1620528314-16392,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-7.html,Venta Casa en Arco de Piedra Jurica,"MN 6,200,000",3 rec.,"4
					
						baños",275 m²
1620528327-16438,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-6.html,Jurica Casa en Venta,"MN 11,500,000",3 rec.,"3
					
						baños",1000 m²
1620528201-16162,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-17.html,"Casa en Preventa, Jurica","MN 21,500,000",4 rec.,"4
					
						baños",2220 m²
1620528365-16519,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-2.html,Residencial - Casa - Venta en Jurica Campestre Queretaro con Amplio Jardín,"MN 8,750,000",4 rec.,"5
					
						baños",1110 m²
1620528348-16463,https://www.inmuebles24.com/casas-en-venta-en-jurica-pagina-4.html,Residencia en Venta en Jurica Queretaro Impecable,"MN 35,000,000",4 rec.,"5
					
						baños",2470 m²
