web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals,price-food,name-food,colonia
1616631707-4287,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Taqueria La Consentida,https://www.ubereats.com/queretaro/food-delivery/taqueria-la-consentida/k_zlfpDaSBaxejtK-Y5Rlw,Taqueria La Consentida,null,null,MX$100.00,Burrito vegetariano,juriquilla
1616631974-6225,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Pizzas and  Pastas by Le Chef,https://www.ubereats.com/queretaro/food-delivery/pizzas-and-pastas-by-le-chef/EzlzQ8hhTO6Oz_5wB7FkRQ,Pizzas and  Pastas by Le Chef,4.8,-31,MX$135.00,Pastas Boloñesa,juriquilla
1616631498-3306,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,URBAN WINGS & BEER,https://www.ubereats.com/queretaro/food-delivery/urban-wings-%26-beer/4ldxLNdNQmuBGGfZSnl7kg,URBAN WINGS & BEER,null,null,MX$65.00,Micro pizzas,juriquilla
1616631986-6244,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Bottega pizzería,https://www.ubereats.com/queretaro/food-delivery/bottega-pizzeria/krKfjnCUSLmjY5G_iyo1hA,Bottega pizzería,3.8,-34,MX$235.00,4 formaggí Grande,juriquilla
1616631810-5499,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Sushi Roll (Antea),https://www.ubereats.com/queretaro/food-delivery/sushi-roll-antea/S3-4avI3QTiH22JmuBlcBg,Sushi Roll (Antea),4.5,-304,MX$43.00,Pepsi,juriquilla
1616631553-3539,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Panio (Antea Lifestyle Center),https://www.ubereats.com/queretaro/food-delivery/panio-antea-lifestyle-center/ZjnEOTDqSsKyP9GtTTxeGQ,Panio (Antea Lifestyle Center),null,-17,MX$150.00,Baguette de jamón serrano,juriquilla
1616631473-3214,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Brioche Bistro,https://www.ubereats.com/queretaro/food-delivery/brioche-bistro/x06U7wQMSF25vHFQm71W5Q,Brioche Bistro,null,null,MX$33.00,Chocolate Cookie,juriquilla
1616632033-6550,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Cosi Fan Tutte,https://www.ubereats.com/queretaro/food-delivery/cosi-fan-tutte/P_MM9NWzTiClkvBUr3V6Zg,Cosi Fan Tutte,4.7,-77,MX$355.00,Filete de Robalo,juriquilla
1616631539-3455,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Fussion Maya Juriquilla,https://www.ubereats.com/queretaro/food-delivery/fussion-maya-juriquilla/F-22W1P6TLy7TxfkM2m27Q,Fussion Maya Juriquilla,null,-14,MX$90.00,Huevos Maya,juriquilla
1616631682-3937,https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D,Circle K 🛒 (Que Juriquilla Ii 972),https://www.ubereats.com/queretaro/food-delivery/circle-k-que-juriquilla-ii-972/M5K5yR7oSdK0gUNBYUJofw,Circle K 🛒 (Que Juriquilla Ii 972),4.7,-27,MX$14.00,SALSA VALENTINA 370 ML,juriquilla
