web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals,price-food,name-food,colonia
1620535086-12042,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Pizza Pop,https://www.ubereats.com/queretaro/food-delivery/pizza-pop/1EX7QpzGTOqb5SZCMIZkGw,Pizza Pop,null,null,MX$55.00,Papas Regulares,lomas
1620535511-12445,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Gabo´s Pizza & Grill (Popocatépetl),https://www.ubereats.com/queretaro/food-delivery/gabo-s-pizza-%26-grill-popocatepetl/HeW5I9_rTo-XJPSXnbYdhQ,Gabo´s Pizza & Grill (Popocatépetl),null,null,MX$145.00,Hamburguesa Champions,lomas
1620534405-11102,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,El Barrio de la Bocha,https://www.ubereats.com/queretaro/food-delivery/el-barrio-de-la-bocha/MNeCUKQFRg6s_ZYgnVy2Tg,El Barrio de la Bocha,null,null,MX$185.00,Pasta a la Guitarra,lomas
1620535778-12742,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Il Pizzaiolo,https://www.ubereats.com/queretaro/food-delivery/il-pizzaiolo/1Fu2HZd_TXOcn99WpZGhMw,Il Pizzaiolo,null,null,MX$170.00,Pizza Americana,lomas
1620534327-11016,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Casa Apothecarius,https://www.ubereats.com/queretaro/food-delivery/casa-apothecarius/P_koe43YRdiTC480lgAIZg,Casa Apothecarius,null,null,MX$41.00,Shakeratto,lomas
1620535987-13008,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Trapani Pizza,https://www.ubereats.com/queretaro/food-delivery/trapani-pizza/nKSAjdt1SLyNkN_3-TmnTw,Trapani Pizza,null,null,MX$190.00,Pizza Marinera Familiar,lomas
1620536535-13631,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Di Vino,https://www.ubereats.com/queretaro/food-delivery/di-vino/3N_2O7cmQxav-mQLdPq7EA,Di Vino,null,null,MX$497.00,Vino Prosecco Di Valdobbiadene Extra Dry Il Follo,lomas
1620534405-11069,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,El Barrio de la Bocha,https://www.ubereats.com/queretaro/food-delivery/el-barrio-de-la-bocha/MNeCUKQFRg6s_ZYgnVy2Tg,El Barrio de la Bocha,null,null,MX$165.00,Ensalada Providencia,lomas
1620535987-12977,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Trapani Pizza,https://www.ubereats.com/queretaro/food-delivery/trapani-pizza/nKSAjdt1SLyNkN_3-TmnTw,Trapani Pizza,null,null,MX$150.00,Pizza Mexicana Mediana,lomas
1620536535-13559,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Di Vino,https://www.ubereats.com/queretaro/food-delivery/di-vino/3N_2O7cmQxav-mQLdPq7EA,Di Vino,null,null,MX$231.00,Pizza Calzone Classico,lomas
1620535387-12266,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Little Rome Pizza,https://www.ubereats.com/queretaro/food-delivery/little-rome-pizza/NFIiEC4LRTCbRyI_agQxEw,Little Rome Pizza,null,null,MX$145.00,Pizza Little Rome 1 ingrediente,lomas
1620536330-13277,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Sinatra 351,https://www.ubereats.com/queretaro/food-delivery/sinatra-351/zO7nnJCgSxGnkdd6nTwxDA,Sinatra 351,null,null,MX$179.00,Pizza Hawaiana,lomas
1620536214-13168,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Domino's Querétaro Constituyentes,https://www.ubereats.com/queretaro/food-delivery/dominos-queretaro-constituyentes/yINZi4F9TqCamd-dxVFAGQ,Domino's Querétaro Constituyentes,null,null,MX$199.00,Mediana Sartén 2-4 ing,lomas
1620534405-11046,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,El Barrio de la Bocha,https://www.ubereats.com/queretaro/food-delivery/el-barrio-de-la-bocha/MNeCUKQFRg6s_ZYgnVy2Tg,El Barrio de la Bocha,null,null,MX$150.00,Jugo de Carne,lomas
1620537047-14421,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Che-Chelas,https://www.ubereats.com/queretaro/food-delivery/che-chelas/Ha5PubCKQF2NkheuISDSmQ,Che-Chelas,null,null,MX$40.00,Jugo,lomas
1620535778-12785,https://www.ubereats.com/search?ps=1&q=Pizza&rpu=8b39d02f-a352-414b-b564-5665360bdfbd&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1lcmNhZG8lMjBMb21hcyUyMGRlJTIwQ2FzYSUyMEJsYW5jYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMmM3ZTQ4NjUyLTQ1YmItNDVjZi03Nzc2LTk2MTk0YWZiYTU4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTcxMTclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM5MjExODMlN0Q%3D,Il Pizzaiolo,https://www.ubereats.com/queretaro/food-delivery/il-pizzaiolo/1Fu2HZd_TXOcn99WpZGhMw,Il Pizzaiolo,null,null,MX$39.00,Sidral Mundet,lomas
