web-scraper-order,web-scraper-start-url,Nombre,Rating,
1615246532-5,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.8,
1615246532-7,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,
1615246532-30,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null,
1615246532-36,https://www.rappi.com.mx/restaurantes/category/pizza,Little Rome Pizza,null,
1615246532-15,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino´s Pizza,null,
1615246532-40,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",null,
1615246532-25,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null,
1615246532-3,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.7,
1615246532-33,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,
1615246532-29,https://www.rappi.com.mx/restaurantes/category/pizza,Ké-Chelas,null,
1615246532-39,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,null,
1615246532-28,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.3,
1615246532-4,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5,
1615246532-18,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza Avenida del Parque,4.5,
1615246532-13,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.4,
1615246532-8,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,null,
1615246532-23,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,null,
1615246532-27,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null,
1615246532-1,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.7,
1615246532-22,https://www.rappi.com.mx/restaurantes/category/pizza,Napoli Pizza Plaza Callao,null,
1615246532-26,https://www.rappi.com.mx/restaurantes/category/pizza,Fiume 37,null,
1615246532-2,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7,
1615246532-16,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,
1615246532-24,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null,
1615246532-35,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null,
1615246532-34,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Sinatra 351,null,
1615246532-38,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null,
1615246532-31,https://www.rappi.com.mx/restaurantes/category/pizza,Pronto Pizza Qro,null,
1615246532-11,https://www.rappi.com.mx/restaurantes/category/pizza,Corleone Pizza,null,
1615246532-12,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null,
1615246532-21,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,null,
1615246532-20,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza.,null,
1615246532-32,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null,
1615246532-37,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,5,
1615246532-17,https://www.rappi.com.mx/restaurantes/category/pizza,Brutus Pizza,4.8,
1615246532-6,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6,
1615246532-19,https://www.rappi.com.mx/restaurantes/category/pizza,California Pizza Kitchen,null,
1615246532-9,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.8,
1615246532-14,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5,
1615246532-10,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6,centro
1615248482-104,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,
1615248482-103,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null,
1615248482-118,https://www.rappi.com.mx/restaurantes/category/pizza,Furiosa Sports Bar,null,
1615248482-120,https://www.rappi.com.mx/restaurantes/category/pizza,Di Vino Italian Restaurant,null,
1615248482-107,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null,
1615248482-111,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,null,
1615248482-109,https://www.rappi.com.mx/restaurantes/category/pizza,Fiume 37,null,
1615248482-98,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null,
1615248482-115,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza.,null,
1615248482-86,https://www.rappi.com.mx/restaurantes/category/pizza,La Mía Pizza,4.7,
1615248482-94,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7,
1615248482-113,https://www.rappi.com.mx/restaurantes/category/pizza,La Santa Pizza,null,
1615248482-125,https://www.rappi.com.mx/restaurantes/category/pizza,Ké-Chelas,null,
1615248482-116,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,3.2,
1615248482-90,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6,
1615248482-99,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino´s Pizza,null,
1615248482-100,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.8,
1615248482-93,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3,
1615248482-119,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null,
1615248482-97,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,null,
1615248482-101,https://www.rappi.com.mx/restaurantes/category/pizza,Corleone Pizza,null,
1615248482-92,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.5,
1615248482-123,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null,
1615248482-110,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,
1615248482-89,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5,
1615248482-87,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.7,
1615248482-112,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza Avenida del Parque,4.5,
1615248482-117,https://www.rappi.com.mx/restaurantes/category/pizza,ke chelas,null,
1615248482-121,https://www.rappi.com.mx/restaurantes/category/pizza,Pronto Pizza Qro,null,
1615248482-95,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.8,
1615248482-91,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5,
1615248482-124,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",null,
1615248482-102,https://www.rappi.com.mx/restaurantes/category/pizza,Brutus Pizza,4.8,
1615248482-105,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null,
1615248482-88,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7,
1615248482-96,https://www.rappi.com.mx/restaurantes/category/pizza,Movies Pizza,5,
1615248482-106,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,null,
1615248482-122,https://www.rappi.com.mx/restaurantes/category/pizza,Sinatra Pizzeria,null,
1615248482-114,https://www.rappi.com.mx/restaurantes/category/pizza,Mamba Pizza Co.,null,
1615248482-108,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6,Alamos 1ra
1615246953-42,https://www.rappi.com.mx/restaurantes/category/pizza,Chechinos Pizza,null,
1615246953-43,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.1,
1615246953-41,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.3,
1615246953-46,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Pub,null,
1615246953-51,https://www.rappi.com.mx/restaurantes/category/pizza,Marconni's Pizzería,null,
1615246953-45,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,null,
